SYS	en	es
ENC_PROC_COMPLETE1	"Process Complete ("	"Proceso Completo ("
ENC_PROC_COMPLETE2	" bytes)"	" bytes)"
DEC_PROGRESS_MSG1	"Processed "	"Procesados "
DEC_PROGRESS_MSG2	" of "	" de "
DEC_PROGRESS_MSG3	" bytes"	" bytes"
DEC_PROC_COMPLETE1	"Process Complete ("	"Proceso Completo ("
DEC_PROC_COMPLETE2	" bytes)"	" bytes)"

# STATUS BAR
USING_PUB_KEY_MSG	"Using RSA Public Key from User: "	"Usando Clave Publica RSA del Ususario: "
SENDING_EMAIL_MSG	"Sending encrypted email..."	"Enviando email encriptado..."

# DIALOGS
BROWSE_FILE_TO_DECRYPT	"Select File To Decrypt..."	"Seleccione archivo a desencriptar..."
BROWSE_FILE_TO_DECRYPT_FILE_FILTER	"Larssentech.org NxCTK Files"	"Archivos Larssentech.org NxCTK"
BROWSE_FILE_TO_ENCRYPT	"Select File To Encrypt..."	"Seleccione Archivo a Encriptar..."
BROWSE_FILE_TO_ATTACH	"Select file to attach..."	"Seleccione archivo a adjuntar..."
